Bandel,Startläge,Slutläge,Spårnamn,Start Date,End Date,Day Age,Radie,Medel Spårvidd Cirkulärkurva,Mätning Spårvidd
118,"1226 + 256,0 m","1226 + 513,0 m",E,130816 00:00,131016 00:00,4092,"1055,0",,
118,"1195 + 295,0 m","1195 + 352,0 m",E,130816 00:00,131016 00:00,4092,"3200,0",,
118,"1222 + 236,0 m","1222 + 392,0 m",E,130816 00:00,131016 00:00,4092,"2130,0",,
118,"1169 + 483,0 m","1169 + 904,0 m",E,120429 00:00,120629 00:00,4566,"765,0",,
118,"1174 + 553,0 m","1174 + 859,0 m",E,130816 00:00,131016 00:00,4092,"2620,0",,
118,"1209 + 662,0 m","1209 + 874,0 m",E,120429 00:00,120629 00:00,4566,"1040,0",,
118,"1200 + 987,0 m","1201 + 143,0 m",E,130816 00:00,131016 00:00,4092,"805,0",,
118,"1202 + 753,0 m","1203 + 205,0 m",E,120429 00:00,120629 00:00,4566,"483,0",,
118,"1178 + 126,0 m","1178 + 398,0 m",E,130816 00:00,131016 00:00,4092,"590,0",,
118,"1209 + 408,0 m","1209 + 594,0 m",E,120429 00:00,120629 00:00,4566,"1080,0",,
118,"1203 + 307,0 m","1203 + 520,0 m",E,130816 00:00,131016 00:00,4092,"-917,0",,
118,"1186 + 860,0 m","1187 + 198,0 m",E,130816 00:00,131016 00:00,4092,"-960,0",,
118,"1206 + 120,0 m","1206 + 392,0 m",E,130816 00:00,131016 00:00,4092,"-753,0",,
118,"1222 + 960,0 m","1222 + 991,0 m",E,130816 00:00,131016 00:00,4092,"-99000,0",,
118,"1161 + 754,0 m","1162 + 361,0 m",E,130816 00:00,131016 00:00,4092,"-1600,0",,
118,"1214 + 477,0 m","1214 + 749,0 m",E,130816 00:00,131016 00:00,4092,"-1085,0",,
118,"1202 + 219,0 m","1202 + 530,0 m",E,130816 00:00,131016 00:00,4092,"-960,0",,
118,"1192 + 348,0 m","1192 + 515,0 m",E,130816 00:00,131016 00:00,4092,"-4000,0",,
118,"1212 + 928,0 m","1213 + 77,0 m",E,130816 00:00,131016 00:00,4092,"-3520,0",,
118,"1181 + 865,0 m","1182 + 321,0 m",E,130816 00:00,131016 00:00,4092,"-1400,0",,
118,"1158 + 184,0 m","1160 + 135,0 m",E,130816 00:00,131016 00:00,4092,"-1600,0",,
118,"1214 + 905,0 m","1215 + 63,0 m",E,130816 00:00,131016 00:00,4092,"-1640,0",,
118,"1185 + 653,0 m","1185 + 860,0 m",E,130816 00:00,131016 00:00,4092,"-590,0",,
118,"1199 + 157,0 m","1199 + 494,0 m",E,130816 00:00,131016 00:00,4092,"-555,0",,
118,"1201 + 622,0 m","1201 + 858,0 m",E,130816 00:00,131016 00:00,4092,"-850,0",,
118,"1160 + 175,0 m","1161 + 535,0 m",E,130816 00:00,131016 00:00,4092,"1600,0",,
118,"1176 + 780,0 m","1177 + 28,0 m",E,130816 00:00,131016 00:00,4092,"965,0",,
118,"1169 + 483,0 m","1169 + 904,0 m",E,130816 00:00,131016 00:00,4092,"765,0",,
118,"1154 + 955,0 m","1155 + 270,0 m",E,130816 00:00,131016 00:00,4092,"650,0",,
118,"1182 + 939,0 m","1183 + 181,0 m",E,130816 00:00,131016 00:00,4092,"720,0",,
118,"1217 + 489,0 m","1217 + 785,0 m",E,130816 00:00,131016 00:00,4092,"920,0",,
118,"1199 + 723,0 m","1200 + 44,0 m",E,130816 00:00,131016 00:00,4092,"535,0",,
118,"1213 + 619,0 m","1213 + 814,0 m",E,130816 00:00,131016 00:00,4092,"-1230,0",,
118,"1230 + 221,0 m","1230 + 429,0 m",E,130816 00:00,131016 00:00,4092,"-455,0",,
118,"1224 + 480,0 m","1224 + 718,0 m",E,130816 00:00,131016 00:00,4092,"-605,0",,
118,"1203 + 956,0 m","1203 + 989,0 m",E,130816 00:00,131016 00:00,4092,"-20000,0",,
118,"1190 + 819,0 m","1191 + 133,0 m",E,130816 00:00,131016 00:00,4092,"-810,0",,
118,"1195 + 352,0 m","1195 + 767,0 m",E,130816 00:00,131016 00:00,4092,"500,0",,
118,"1231 + 540,0 m","1231 + 950,0 m",E,130816 00:00,131016 00:00,4092,"959,0",,
118,"1229 + 321,0 m","1229 + 751,0 m",E,130816 00:00,131016 00:00,4092,"500,0",,
